open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1697583600000.00,1562.18,1562.19,1562.18,1562.18,0.3851,1697583600999.00,601.596702,9,0.1184,184.963296,0
1697583601000.00,1562.18,1562.19,1562.18,1562.18,5.7871,1697583601999.00,9040.492398,4,0.052,81.23388,0
1697583602000.00,1562.18,1562.18,1562.18,1562.18,0.0049,1697583602999.00,7.654682,1,0,0,0
1697583603000.00,1562.19,1562.31,1562.19,1562.31,3.8432,1697583603999.00,6003.983934,21,3.8432,6003.983934,0
1697583604000.00,1562.34,1562.44,1562.34,1562.44,9.6045,1697583604999.00,15006.0415,21,9.4859,14820.74679,0
1697583605000.00,1562.45,1562.46,1562.45,1562.46,0.019,1697583605999.00,29.686589,3,0.019,29.686589,0
1697583606000.00,1562.45,1562.45,1562.45,1562.45,0.3237,1697583606999.00,505.765065,3,0,0,0
1697583607000.00,1562.45,1562.45,1562.45,1562.45,0,1697583607999.00,0,0,0,0,0
1697583608000.00,1562.45,1562.45,1562.45,1562.45,0.1262,1697583608999.00,197.18119,2,0,0,0
1697583609000.00,1562.45,1562.46,1562.45,1562.46,4.0289,1697583609999.00,6294.955094,2,0.0289,45.155094,0
1697583610000.00,1562.46,1562.46,1562.46,1562.46,0,1697583610999.00,0,0,0,0,0
1697583611000.00,1562.45,1562.45,1562.45,1562.45,0.0079,1697583611999.00,12.343355,1,0,0,0
1697583612000.00,1562.45,1562.45,1562.45,1562.45,0,1697583612999.00,0,0,0,0,0
1697583613000.00,1562.45,1562.45,1562.45,1562.45,0.0945,1697583613999.00,147.651525,2,0,0,0
1697583614000.00,1562.45,1562.45,1562.45,1562.45,0,1697583614999.00,0,0,0,0,0
1697583615000.00,1562.46,1562.46,1562.46,1562.46,0.0388,1697583615999.00,60.623448,1,0.0388,60.623448,0
1697583616000.00,1562.46,1562.52,1562.46,1562.52,0.64,1697583616999.00,1000.006353,13,0.64,1000.006353,0
1697583617000.00,1562.52,1562.52,1562.52,1562.52,0,1697583617999.00,0,0,0,0,0
1697583618000.00,1562.54,1562.54,1562.54,1562.54,0.058,1697583618999.00,90.62732,4,0.058,90.62732,0
1697583619000.00,1562.54,1562.54,1562.54,1562.54,0,1697583619999.00,0,0,0,0,0
1697583620000.00,1562.53,1562.53,1562.53,1562.53,0.025,1697583620999.00,39.06325,1,0,0,0
1697583621000.00,1562.54,1562.54,1562.54,1562.54,0.0372,1697583621999.00,58.126488,1,0.0372,58.126488,0
1697583622000.00,1562.54,1562.54,1562.54,1562.54,0.5057,1697583622999.00,790.176478,2,0.5057,790.176478,0
1697583623000.00,1562.54,1562.54,1562.54,1562.54,0,1697583623999.00,0,0,0,0,0
1697583624000.00,1562.54,1562.54,1562.54,1562.54,0.8148,1697583624999.00,1273.157592,1,0.8148,1273.157592,0
1697583625000.00,1562.53,1562.54,1562.53,1562.54,0.8394,1697583625999.00,1311.587885,3,0.0203,31.719562,0
1697583626000.00,1562.53,1562.54,1562.53,1562.54,0.8541,1697583626999.00,1334.557,2,0.0127,19.844258,0
1697583627000.00,1562.53,1562.54,1562.53,1562.54,0.3929,1697583627999.00,613.921917,2,0.388,606.26552,0
1697583628000.00,1562.53,1562.53,1562.53,1562.53,0.0054,1697583628999.00,8.437662,1,0,0,0
1697583629000.00,1562.53,1562.53,1562.45,1562.45,21.0928,1697583629999.00,32958.11966,22,0,0,0
1697583630000.00,1562.45,1562.46,1562.45,1562.45,0.0353,1697583630999.00,55.154572,3,0.0087,13.593402,0
1697583631000.00,1562.45,1562.45,1562.45,1562.45,0.0081,1697583631999.00,12.655845,1,0,0,0
1697583632000.00,1562.45,1562.45,1562.45,1562.45,0,1697583632999.00,0,0,0,0,0
1697583633000.00,1562.45,1562.45,1562.45,1562.45,0,1697583633999.00,0,0,0,0,0
1697583634000.00,1562.46,1562.46,1562.45,1562.45,0.3313,1697583634999.00,517.639765,2,0.008,12.49968,0
1697583635000.00,1562.45,1562.45,1562.45,1562.45,0,1697583635999.00,0,0,0,0,0
1697583636000.00,1562.46,1562.46,1562.43,1562.43,1.8229,1697583636999.00,2848.160504,6,0.1515,236.71269,0
1697583637000.00,1562.43,1562.43,1562.39,1562.39,0.2463,1697583637999.00,384.820529,8,0,0,0
1697583638000.00,1562.39,1562.39,1562.39,1562.39,0.02,1697583638999.00,31.2478,2,0,0,0
1697583639000.00,1562.39,1562.39,1562.38,1562.38,0.0976,1697583639999.00,152.489188,2,0,0,0
1697583640000.00,1562.38,1562.38,1562.38,1562.38,0.3033,1697583640999.00,473.869854,2,0.3033,473.869854,0
1697583641000.00,1562.37,1562.37,1562.37,1562.37,0.3979,1697583641999.00,621.667023,1,0,0,0
1697583642000.00,1562.38,1562.38,1562.38,1562.38,0.0151,1697583642999.00,23.591938,1,0.0151,23.591938,0
1697583643000.00,1562.38,1562.38,1562.34,1562.34,2.271,1697583643999.00,3548.084715,8,0.0146,22.810748,0
1697583644000.00,1562.34,1562.34,1562.34,1562.34,0,1697583644999.00,0,0,0,0,0
1697583645000.00,1562.34,1562.34,1562.34,1562.34,0.0048,1697583645999.00,7.499232,1,0,0,0
1697583646000.00,1562.34,1562.34,1562.34,1562.34,0,1697583646999.00,0,0,0,0,0
1697583647000.00,1562.34,1562.35,1562.34,1562.35,0.4293,1697583647999.00,670.716786,2,0.4224,659.93664,0
1697583648000.00,1562.35,1562.35,1562.35,1562.35,0,1697583648999.00,0,0,0,0,0
1697583649000.00,1562.35,1562.35,1562.35,1562.35,0,1697583649999.00,0,0,0,0,0
1697583650000.00,1562.35,1562.35,1562.32,1562.32,1.0777,1697583650999.00,1683.729189,5,0.0231,36.090285,0
1697583651000.00,1562.31,1562.31,1562.31,1562.31,0.0233,1697583651999.00,36.401823,1,0,0,0
1697583652000.00,1562.32,1562.32,1562.32,1562.32,0.0583,1697583652999.00,91.083256,2,0.0583,91.083256,0
1697583653000.00,1562.32,1562.32,1562.32,1562.32,0,1697583653999.00,0,0,0,0,0
1697583654000.00,1562.32,1562.32,1562.32,1562.32,0,1697583654999.00,0,0,0,0,0
1697583655000.00,1562.31,1562.31,1562.11,1562.11,2.4573,1697583655999.00,3838.992241,25,0,0,0
1697583656000.00,1562.11,1562.11,1562.11,1562.11,0,1697583656999.00,0,0,0,0,0
1697583657000.00,1562.11,1562.11,1562.11,1562.11,0,1697583657999.00,0,0,0,0,0
1697583658000.00,1562.11,1562.11,1562.11,1562.11,0.0111,1697583658999.00,17.339421,2,0,0,0
1697583659000.00,1562.11,1562.12,1562.11,1562.11,0.8644,1697583659999.00,1350.291649,26,0.3765,588.13818,0
