open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1697414400000,27154.14000000,27154.60000000,27135.37000000,27135.37000000,53.91373000,1697414459999,1463474.77514500,1735,18.39633000,499346.56656580,0
1697414460000,27135.38000000,27155.00000000,27131.54000000,27155.00000000,42.10577000,1697414519999,1142675.71153280,1576,34.67653000,941076.62109860,0
1697414520000,27155.00000000,27158.12000000,27150.00000000,27158.12000000,42.32898000,1697414579999,1149396.75625060,1422,23.05373000,625998.54358570,0
1697414580000,27158.12000000,27163.48000000,27158.11000000,27163.47000000,14.01405000,1697414639999,380626.87826220,1031,9.78822000,265851.02114580,0
1697414640000,27163.47000000,27164.57000000,27160.49000000,27163.99000000,11.81364000,1697414699999,320899.70727070,995,2.50069000,67923.44842800,0
1697414700000,27163.99000000,27177.57000000,27163.98000000,27177.57000000,17.30678000,1697414759999,470239.76315520,969,14.27851000,387952.85023790,0
1697414760000,27177.57000000,27183.09000000,27172.80000000,27183.09000000,51.55127000,1697414819999,1400972.11019920,1050,40.52727000,1101363.57094710,0
1697414820000,27183.08000000,27188.47000000,27180.00000000,27183.23000000,31.60540000,1697414879999,859195.58688000,1016,20.32035000,552405.83007230,0
1697414880000,27183.22000000,27183.23000000,27175.01000000,27177.61000000,21.37822000,1697414939999,581011.82574100,813,9.54552000,259411.69820730,0
1697414940000,27177.61000000,27187.16000000,27177.61000000,27187.16000000,13.25792000,1697414999999,360366.60949970,686,10.33006000,280785.71707740,0
1697415000000,27187.16000000,27188.96000000,27187.15000000,27188.96000000,9.61841000,1697415059999,261511.20832230,480,6.91899000,188117.87092330,0
1697415060000,27188.95000000,27191.25000000,27188.95000000,27191.24000000,14.63602000,1697415119999,397943.18152800,586,5.82979000,158509.76439120,0
1697415120000,27191.25000000,27193.54000000,27191.24000000,27192.68000000,13.23430000,1697415179999,359877.13123870,529,3.83847000,104375.67753850,0
1697415180000,27192.68000000,27192.69000000,27156.97000000,27156.98000000,32.67286000,1697415239999,887959.45553800,1245,1.80061000,48930.38698920,0
1697415240000,27156.97000000,27159.02000000,27156.97000000,27159.02000000,18.89879000,1697415299999,513236.00401730,398,13.58254000,368862.50599840,0
1697415300000,27159.02000000,27164.26000000,27158.26000000,27158.27000000,14.74802000,1697415359999,400579.63863730,766,5.59332000,151921.66639420,0
1697415360000,27158.27000000,27158.27000000,27143.33000000,27144.36000000,21.71607000,1697415419999,589565.70258800,747,1.78029000,48326.73009640,0
1697415420000,27144.37000000,27144.37000000,27135.43000000,27135.43000000,10.16798000,1697415479999,275980.73669640,646,1.71580000,46569.98377510,0
1697415480000,27135.44000000,27139.15000000,27128.13000000,27129.43000000,21.82763000,1697415539999,592234.70712890,1123,11.42081000,309876.60737450,0
1697415540000,27129.43000000,27136.44000000,27129.42000000,27136.44000000,17.93026000,1697415599999,486444.48793560,644,13.51775000,366734.77582460,0
1697415600000,27136.44000000,27137.55000000,27136.43000000,27137.55000000,2.93839000,1697415659999,79738.68231410,284,1.58019000,42881.29635330,0
1697415660000,27137.54000000,27139.87000000,27135.99000000,27139.86000000,27.13551000,1697415719999,736387.65676840,572,12.07519000,327687.54242410,0
1697415720000,27139.86000000,27139.87000000,27135.45000000,27137.19000000,8.37253000,1697415779999,227216.70765290,513,1.51896000,41220.24754650,0
1697415780000,27137.18000000,27155.00000000,27137.18000000,27154.99000000,33.18584000,1697415839999,900792.40544720,966,30.97025000,840655.83818080,0
1697415840000,27155.00000000,27155.00000000,27142.79000000,27142.79000000,10.01013000,1697415899999,271796.38100530,601,3.25215000,88303.42406960,0
1697415900000,27142.84000000,27142.84000000,27131.14000000,27134.10000000,13.12713000,1697415959999,356203.56087580,823,6.40068000,173663.65669680,0
1697415960000,27134.09000000,27143.96000000,27134.09000000,27143.96000000,8.58260000,1697416019999,232921.69484800,550,6.30447000,171096.43595640,0
1697416020000,27143.95000000,27150.10000000,27143.95000000,27146.93000000,10.19097000,1697416079999,276661.21461060,568,4.48253000,121685.96911950,0
1697416080000,27146.93000000,27149.20000000,27146.92000000,27149.20000000,5.99327000,1697416139999,162704.97474280,273,5.50260000,149384.63531250,0
1697416140000,27149.19000000,27160.20000000,27149.19000000,27158.19000000,62.32214000,1697416199999,1692507.23976580,813,58.60167000,1591462.26722740,0
1697416200000,27158.19000000,27172.44000000,27156.35000000,27172.44000000,27.22303000,1697416259999,739485.29974570,834,22.55596000,612696.91592210,0
1697416260000,27172.43000000,27180.00000000,27172.43000000,27180.00000000,9.05055000,1697416319999,245981.11565200,385,4.88170000,132672.18554480,0
1697416320000,27179.99000000,27180.00000000,27169.12000000,27169.12000000,11.52272000,1697416379999,313118.33799260,554,1.49676000,40671.11270330,0
1697416380000,27169.13000000,27175.52000000,27169.12000000,27175.51000000,10.87558000,1697416439999,295494.54066420,562,8.63544000,234629.07518090,0
1697416440000,27175.52000000,27175.52000000,27168.84000000,27168.85000000,7.16367000,1697416499999,194664.04959920,480,1.27839000,34738.43142990,0
1697416500000,27168.85000000,27173.83000000,27168.35000000,27170.69000000,15.25611000,1697416559999,414515.31193070,738,9.67749000,262933.65594870,0
1697416560000,27170.69000000,27170.70000000,27156.02000000,27156.02000000,30.50924000,1697416619999,828706.91966460,777,0.79742000,21659.85145700,0
1697416620000,27156.02000000,27156.03000000,27146.38000000,27146.38000000,19.49862000,1697416679999,529351.91376420,636,6.49069000,176204.15540130,0
1697416680000,27146.38000000,27146.39000000,27138.43000000,27138.43000000,8.75093000,1697416739999,237515.34164270,495,2.16722000,58821.33410090,0
1697416740000,27138.44000000,27141.10000000,27138.43000000,27141.09000000,7.72258000,1697416799999,209581.91204050,408,5.95701000,161665.88497280,0
1697416800000,27141.09000000,27141.10000000,27129.95000000,27129.97000000,62.07967000,1697416859999,1684367.37050290,775,9.20266000,249673.33354290,0
1697416860000,27129.98000000,27129.98000000,27122.05000000,27124.20000000,12.64496000,1697416919999,343001.96625200,535,1.61069000,43689.49085740,0
1697416920000,27124.20000000,27124.20000000,27121.21000000,27121.21000000,4.81853000,1697416979999,130698.25977020,387,1.41332000,38335.02328780,0
1697416980000,27121.22000000,27121.22000000,27114.31000000,27114.31000000,10.62244000,1697417039999,288078.28744710,506,3.95537000,107263.80514400,0
1697417040000,27114.32000000,27114.32000000,27112.67000000,27112.67000000,6.28929000,1697417099999,170528.16999760,344,3.45570000,93698.10938400,0
